19,19,19,19,57,255,255,255,19,19,19,38,176,255,255,255,19,19,19,38,255,255,255,255,19,19,38,255,255,255,255,255,38,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
11,15,13,21,32,123,123,72,16,16,19,25,94,123,72,72,17,17,21,83,123,123,72,72,19,23,29,90,72,72,72,72,24,68,114,72,72,72,72,72,74,72,72,72,72,72,72,72,123,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
11,13,13,19,28,123,123,72,13,15,17,22,94,123,72,72,17,16,19,79,123,123,72,72,17,20,25,90,72,72,72,72,21,68,114,72,72,72,72,72,74,72,72,72,72,72,72,72,123,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
11,11,11,11,31,145,187,170,11,11,11,21,96,240,240,215,11,11,11,21,170,215,255,215,11,11,21,123,192,255,255,240,21,101,145,215,255,255,255,255,101,145,215,240,255,255,255,255,192,240,255,255,255,255,255,255,255,255,255,255,255,255,255,255
9,9,9,9,26,121,157,142,9,9,9,17,80,201,201,180,9,9,9,17,142,180,219,180,9,9,17,103,161,255,255,201,17,84,121,180,219,255,255,238,84,121,180,201,255,255,255,255,161,201,255,255,255,255,255,255,238,255,255,255,255,255,255,255
7,7,7,7,26,121,157,142,7,7,7,14,80,201,201,180,7,7,7,14,142,180,219,180,7,7,14,103,161,255,255,201,14,84,121,180,219,255,255,238,84,121,180,201,255,255,255,255,161,201,255,255,255,255,255,255,238,255,255,255,255,255,255,255
5,5,5,5,17,77,100,90,5,5,5,10,51,128,128,115,5,5,5,10,90,115,139,115,5,5,10,66,103,159,159,128,10,54,77,115,139,159,159,151,54,77,115,128,159,159,159,159,103,128,159,159,159,159,159,159,151,159,159,159,159,159,159,159
5,4,4,5,11,44,68,80,4,4,5,7,38,80,80,74,5,5,5,8,55,80,91,74,5,5,7,43,68,116,104,80,7,32,49,74,91,140,133,104,38,49,74,85,110,133,146,121,68,85,104,116,133,158,158,133,97,121,127,127,146,133,133,127
3,3,3,3,9,43,56,67,3,3,3,6,28,101,101,91,3,3,3,6,71,91,111,91,3,3,6,51,81,141,131,101,6,41,61,91,111,171,161,121,41,61,91,101,131,171,181,151,81,101,131,141,161,191,191,161,121,151,151,161,181,161,161,161
3,2,2,3,7,28,43,51,2,2,3,4,24,51,51,47,3,3,3,5,71,91,111,91,3,3,4,51,81,141,131,101,4,41,61,91,111,171,161,121,41,61,91,101,131,171,181,151,81,101,131,141,161,191,191,161,121,151,151,161,181,161,161,161
2,2,2,2,12,39,44,55,2,2,2,3,23,55,55,49,2,2,2,3,42,53,65,53,2,2,3,30,47,82,76,59,3,24,36,53,65,100,94,71,24,36,53,59,76,100,105,88,47,59,76,82,94,111,111,94,71,88,88,94,105,94,94,94
1,1,1,1,4,12,15,18,1,1,1,3,23,55,55,49,1,1,1,3,39,49,60,49,1,1,3,28,44,76,70,55,3,23,34,49,60,93,87,66,23,34,49,55,70,93,97,81,44,55,70,76,87,103,103,87,66,81,81,87,97,87,87,87
1,1,1,1,3,9,11,13,1,1,1,2,6,23,23,22,1,1,1,2,15,23,27,22,1,1,2,13,19,33,29,23,2,9,14,22,27,41,38,29,10,14,22,24,32,38,42,36,19,24,29,33,38,46,46,38,28,36,37,37,42,38,38,37
1,1,1,1,1,2,3,3,1,1,1,1,2,23,23,22,1,1,1,1,15,23,27,22,1,1,1,13,19,33,29,23,1,9,14,22,27,41,38,29,10,14,22,24,32,38,42,36,19,24,29,33,38,46,46,38,28,36,37,37,42,38,38,37
